Date;Humidity (in %);Temperature (in °C)
'2017-08-01T03:00:00Z';0.67;23.8
'2017-08-01T04:00:00Z';0.69;22.9
'2017-08-01T05:00:00Z';0.73;22.2
'2017-08-01T06:00:00Z';0.75;21.7
'2017-08-01T07:00:00Z';0.69;23.4
'2017-08-01T08:00:00Z';0.60;26.3
'2017-08-01T09:00:00Z';0.50;29.5
'2017-08-01T10:00:00Z';0.42;30.9
'2017-08-01T11:00:00Z';0.38;32.1
'2017-08-01T12:00:00Z';0.34;33.2
'2017-08-01T13:00:00Z';0.32;34.2
'2017-08-01T14:00:00Z';0.32;34.9
'2017-08-01T15:00:00Z';0.33;35.4
'2017-08-01T16:00:00Z';0.32;35.6
'2017-08-01T17:00:00Z';0.30;35.3
'2017-08-01T18:00:00Z';0.31;34.7
'2017-08-01T19:00:00Z';0.34;33.5
'2017-08-01T20:00:00Z';0.39;31.8
'2017-08-01T21:00:00Z';0.40;30.6
'2017-08-01T22:00:00Z';0.46;29.4
'2017-08-01T23:00:00Z';0.48;28.5
'2017-08-02T00:00:00Z';0.53;27.8
'2017-08-02T01:00:00Z';0.56;26.7
'2017-08-02T02:00:00Z';0.58;26.3
'2017-08-02T03:00:00Z';0.63;25.4
'2017-08-02T04:00:00Z';0.54;27.2
'2017-08-02T05:00:00Z';0.57;26.5
'2017-08-02T06:00:00Z';0.60;26.0
'2017-08-02T07:00:00Z';0.59;26.2
'2017-08-02T08:00:00Z';0.59;26.6
'2017-08-02T09:00:00Z';0.58;26.9
'2017-08-02T10:00:00Z';0.58;27.7
'2017-08-02T11:00:00Z';0.52;29.0
'2017-08-02T12:00:00Z';0.50;28.7
'2017-08-02T13:00:00Z';0.47;30.5
'2017-08-02T14:00:00Z';0.41;32.0
'2017-08-02T15:00:00Z';0.37;32.9
'2017-08-02T16:00:00Z';0.37;33.8
'2017-08-02T17:00:00Z';0.30;34.3
'2017-08-02T18:00:00Z';0.30;34.2
'2017-08-02T19:00:00Z';0.42;31.5
'2017-08-02T20:00:00Z';0.47;29.6
'2017-08-02T21:00:00Z';0.53;28.1
'2017-08-02T22:00:00Z';0.58;26.7
'2017-08-02T23:00:00Z';0.62;25.5
'2017-08-03T00:00:00Z';0.63;24.6
'2017-08-03T01:00:00Z';0.62;24.0
'2017-08-03T02:00:00Z';0.65;23.1
'2017-08-03T03:00:00Z';0.67;22.8
'2017-08-03T04:00:00Z';0.70;22.0
'2017-08-03T05:00:00Z';0.71;21.2
'2017-08-03T06:00:00Z';0.74;20.8
'2017-08-03T07:00:00Z';0.69;22.6
'2017-08-03T08:00:00Z';0.60;24.8
'2017-08-03T09:00:00Z';0.52;27.5
'2017-08-03T10:00:00Z';0.42;29.8
'2017-08-03T11:00:00Z';0.34;32.4
'2017-08-03T12:00:00Z';0.32;34.1
'2017-08-03T13:00:00Z';0.30;35.6
'2017-08-03T14:00:00Z';0.28;36.2
'2017-08-03T15:00:00Z';0.28;37.5
'2017-08-03T16:00:00Z';0.20;38.0
'2017-08-03T17:00:00Z';0.22;37.4
'2017-08-03T18:00:00Z';0.27;36.2
'2017-08-03T19:00:00Z';0.38;31.9
'2017-08-03T20:00:00Z';0.46;29.7
'2017-08-03T21:00:00Z';0.51;28.7
'2017-08-03T22:00:00Z';0.56;27.7
'2017-08-03T23:00:00Z';0.57;27.1
'2017-08-04T00:00:00Z';0.63;25.9
'2017-08-04T01:00:00Z';0.62;25.0
'2017-08-04T02:00:00Z';0.63;25.0
'2017-08-04T03:00:00Z';0.67;23.7
'2017-08-04T04:00:00Z';0.71;22.9
'2017-08-04T05:00:00Z';0.70;23.4
'2017-08-04T06:00:00Z';0.73;23.3
'2017-08-04T07:00:00Z';0.72;24.1
'2017-08-04T08:00:00Z';0.66;26.1
'2017-08-04T09:00:00Z';0.61;27.5
'2017-08-04T10:00:00Z';0.53;28.7
'2017-08-04T11:00:00Z';0.52;29.3
'2017-08-04T12:00:00Z';0.50;30.3
'2017-08-04T13:00:00Z';0.55;29.7
'2017-08-04T14:00:00Z';0.48;31.6
'2017-08-04T15:00:00Z';0.41;32.6
'2017-08-04T16:00:00Z';0.38;33.3
'2017-08-04T17:00:00Z';0.37;33.8
'2017-08-04T18:00:00Z';0.38;33.6
'2017-08-04T19:00:00Z';0.40;32.2
'2017-08-04T20:00:00Z';0.50;30.5
'2017-08-04T21:00:00Z';0.51;29.6
'2017-08-04T22:00:00Z';0.56;29.0
'2017-08-04T23:00:00Z';0.56;28.4
'2017-08-05T00:00:00Z';0.59;27.4
'2017-08-05T01:00:00Z';0.54;27.7
'2017-08-05T02:00:00Z';0.55;26.6
'2017-08-05T03:00:00Z';0.38;26.1
'2017-08-05T04:00:00Z';0.43;25.1
'2017-08-05T05:00:00Z';0.41;24.9
'2017-08-05T06:00:00Z';0.42;24.4
'2017-08-05T07:00:00Z';0.44;24.0
'2017-08-05T08:00:00Z';0.45;23.9
'2017-08-05T09:00:00Z';0.47;23.9
'2017-08-05T10:00:00Z';0.49;23.9
'2017-08-05T11:00:00Z';0.44;25.5
'2017-08-05T12:00:00Z';0.44;26.4
'2017-08-05T13:00:00Z';0.45;26.5
'2017-08-05T14:00:00Z';0.48;26.1
'2017-08-05T15:00:00Z';0.44;28.2
'2017-08-05T16:00:00Z';0.42;30.1
'2017-08-05T17:00:00Z';0.40;30.7
'2017-08-05T18:00:00Z';0.41;31.0
'2017-08-05T19:00:00Z';0.46;29.2
'2017-08-05T20:00:00Z';0.53;28.0
'2017-08-05T21:00:00Z';0.56;27.1
'2017-08-05T22:00:00Z';0.61;25.8
'2017-08-05T23:00:00Z';0.62;25.6
'2017-08-06T00:00:00Z';0.57;26.5
'2017-08-06T01:00:00Z';0.56;27.1
'2017-08-06T02:00:00Z';0.75;24.4
'2017-08-06T03:00:00Z';0.78;23.7
'2017-08-06T04:00:00Z';0.73;23.8
'2017-08-06T05:00:00Z';0.75;21.9
'2017-08-06T06:00:00Z';0.75;21.6
'2017-08-06T07:00:00Z';0.72;21.8
'2017-08-06T08:00:00Z';0.75;22.2
'2017-08-06T09:00:00Z';0.71;22.2
'2017-08-06T10:00:00Z';0.78;20.4
'2017-08-06T11:00:00Z';0.91;18.9
'2017-08-06T12:00:00Z';0.88;19.8
'2017-08-06T13:00:00Z';0.89;19.5
'2017-08-06T14:00:00Z';0.87;19.7
'2017-08-06T15:00:00Z';0.80;20.8
'2017-08-06T16:00:00Z';0.86;19.8
'2017-08-06T17:00:00Z';0.86;19.5
'2017-08-06T18:00:00Z';0.85;19.2
'2017-08-06T19:00:00Z';0.79;18.7
'2017-08-06T20:00:00Z';0.90;18.1
'2017-08-06T21:00:00Z';0.90;17.4
'2017-08-06T22:00:00Z';0.90;17.4
'2017-08-06T23:00:00Z';0.88;17.3
'2017-08-07T00:00:00Z';0.87;17.2
'2017-08-07T01:00:00Z';0.86;17.3
'2017-08-07T02:00:00Z';0.84;17.2
'2017-08-07T03:00:00Z';0.83;17.0
'2017-08-07T04:00:00Z';0.80;17.1
'2017-08-07T05:00:00Z';0.80;16.7
'2017-08-07T06:00:00Z';0.77;16.2
'2017-08-07T07:00:00Z';0.76;16.6
'2017-08-07T08:00:00Z';0.70;18.0
'2017-08-07T09:00:00Z';0.61;19.3
'2017-08-07T10:00:00Z';0.59;20.0
'2017-08-07T11:00:00Z';0.52;21.7
'2017-08-07T12:00:00Z';0.50;22.8
'2017-08-07T13:00:00Z';0.45;23.1
'2017-08-07T14:00:00Z';0.43;23.7
'2017-08-07T15:00:00Z';0.40;24.8
'2017-08-07T16:00:00Z';0.37;25.5
'2017-08-07T17:00:00Z';0.38;25.9
'2017-08-07T18:00:00Z';0.37;25.8
'2017-08-07T19:00:00Z';0.40;24.2
'2017-08-07T20:00:00Z';0.44;23.0
'2017-08-07T21:00:00Z';0.59;20.5
'2017-08-07T22:00:00Z';0.63;20.8
'2017-08-07T23:00:00Z';0.68;19.6
'2017-08-08T00:00:00Z';0.73;19.1
'2017-08-08T01:00:00Z';0.77;18.5
'2017-08-08T02:00:00Z';0.80;18.1
'2017-08-08T03:00:00Z';0.87;17.4
'2017-08-08T04:00:00Z';0.89;17.0
'2017-08-08T05:00:00Z';0.92;16.9
'2017-08-08T06:00:00Z';0.92;17.0
'2017-08-08T07:00:00Z';0.88;17.5
'2017-08-08T08:00:00Z';0.85;18.1
'2017-08-08T09:00:00Z';0.81;18.8
'2017-08-08T10:00:00Z';0.79;19.7
'2017-08-08T11:00:00Z';0.74;20.9
'2017-08-08T12:00:00Z';0.68;21.9
'2017-08-08T13:00:00Z';0.67;22.0
'2017-08-08T14:00:00Z';0.62;23.3
'2017-08-08T15:00:00Z';0.60;23.7
'2017-08-08T16:00:00Z';0.59;24.4
'2017-08-08T17:00:00Z';0.58;25.2
'2017-08-08T18:00:00Z';0.60;25.1
'2017-08-08T19:00:00Z';0.62;24.7
'2017-08-08T20:00:00Z';0.65;23.9
'2017-08-08T21:00:00Z';0.69;23.0
'2017-08-08T22:00:00Z';0.70;22.5
'2017-08-08T23:00:00Z';0.70;22.2
'2017-08-09T00:00:00Z';0.73;21.9
'2017-08-09T01:00:00Z';0.77;21.3
'2017-08-09T02:00:00Z';0.81;20.6
'2017-08-09T03:00:00Z';0.71;21.1
'2017-08-09T04:00:00Z';0.72;19.7
'2017-08-09T05:00:00Z';0.77;18.6
'2017-08-09T06:00:00Z';0.78;18.1
'2017-08-09T07:00:00Z';0.75;19.2
'2017-08-09T08:00:00Z';0.61;21.8
'2017-08-09T09:00:00Z';0.57;23.4
'2017-08-09T10:00:00Z';0.58;24.1
'2017-08-09T11:00:00Z';0.46;26.1
'2017-08-09T12:00:00Z';0.48;27.1
'2017-08-09T13:00:00Z';0.50;27.1
'2017-08-09T14:00:00Z';0.42;29.1
'2017-08-09T15:00:00Z';0.43;30.0
'2017-08-09T16:00:00Z';0.42;31.3
'2017-08-09T17:00:00Z';0.47;30.8
'2017-08-09T18:00:00Z';0.48;30.5
'2017-08-09T19:00:00Z';0.52;29.7
'2017-08-09T20:00:00Z';0.56;28.7
'2017-08-09T21:00:00Z';0.61;27.5
'2017-08-09T22:00:00Z';0.65;26.6
'2017-08-09T23:00:00Z';0.66;26.4
'2017-08-10T00:00:00Z';0.68;26.0
'2017-08-10T01:00:00Z';0.71;25.2
'2017-08-10T02:00:00Z';0.71;25.4
'2017-08-10T03:00:00Z';0.62;25.2
'2017-08-10T04:00:00Z';0.56;24.9
'2017-08-10T05:00:00Z';0.61;23.5
'2017-08-10T06:00:00Z';0.67;22.4
'2017-08-10T07:00:00Z';0.69;23.0
'2017-08-10T08:00:00Z';0.66;25.3
'2017-08-10T09:00:00Z';0.64;26.4
'2017-08-10T10:00:00Z';0.59;28.1
'2017-08-10T11:00:00Z';0.61;28.3
'2017-08-10T12:00:00Z';0.53;28.5
'2017-08-10T13:00:00Z';0.41;30.7
'2017-08-10T14:00:00Z';0.40;31.4
'2017-08-10T15:00:00Z';0.38;32.0
'2017-08-10T16:00:00Z';0.43;30.6
'2017-08-10T17:00:00Z';0.85;21.8
'2017-08-10T18:00:00Z';0.88;22.1
'2017-08-10T19:00:00Z';0.87;22.7
'2017-08-10T20:00:00Z';0.86;22.2
'2017-08-10T21:00:00Z';0.75;22.5
'2017-08-10T22:00:00Z';0.67;24.0
'2017-08-10T23:00:00Z';0.91;19.4
'2017-08-11T00:00:00Z';0.93;19.3
'2017-08-11T01:00:00Z';0.92;19.1
'2017-08-11T02:00:00Z';0.90;19.1
'2017-08-11T03:00:00Z';0.94;18.3
'2017-08-11T04:00:00Z';0.92;16.8
'2017-08-11T05:00:00Z';0.93;16.4
'2017-08-11T06:00:00Z';0.93;16.1
'2017-08-11T07:00:00Z';0.92;17.2
'2017-08-11T08:00:00Z';0.86;16.8
'2017-08-11T09:00:00Z';0.72;20.0
'2017-08-11T10:00:00Z';0.77;18.5
'2017-08-11T11:00:00Z';0.81;18.7
'2017-08-11T12:00:00Z';0.78;18.6
'2017-08-11T13:00:00Z';0.70;21.7
'2017-08-11T14:00:00Z';0.68;23.0
'2017-08-11T15:00:00Z';0.68;20.1
'2017-08-11T16:00:00Z';0.66;18.8
'2017-08-11T17:00:00Z';0.68;18.6
'2017-08-11T18:00:00Z';0.69;18.4
'2017-08-11T19:00:00Z';0.70;18.3
'2017-08-11T20:00:00Z';0.72;17.7
'2017-08-11T21:00:00Z';0.70;17.4
'2017-08-11T22:00:00Z';0.71;17.0
'2017-08-11T23:00:00Z';0.73;16.8
'2017-08-12T00:00:00Z';0.64;16.9
'2017-08-12T01:00:00Z';0.72;16.0
'2017-08-12T02:00:00Z';0.75;15.5
'2017-08-12T03:00:00Z';0.76;15.1
'2017-08-12T04:00:00Z';0.76;15.2
'2017-08-12T05:00:00Z';0.76;15.0
'2017-08-12T06:00:00Z';0.75;15.2
'2017-08-12T07:00:00Z';0.74;15.8
'2017-08-12T08:00:00Z';0.68;17.7
'2017-08-12T09:00:00Z';0.68;18.2
'2017-08-12T10:00:00Z';0.62;19.3
'2017-08-12T11:00:00Z';0.60;19.7
'2017-08-12T12:00:00Z';0.54;21.1
'2017-08-12T13:00:00Z';0.55;20.8
'2017-08-12T14:00:00Z';0.50;21.7
'2017-08-12T15:00:00Z';0.46;22.1
'2017-08-12T16:00:00Z';0.49;22.4
'2017-08-12T17:00:00Z';0.50;22.6
'2017-08-12T18:00:00Z';0.51;21.8
'2017-08-12T19:00:00Z';0.56;20.5
'2017-08-12T20:00:00Z';0.63;19.1
'2017-08-12T21:00:00Z';0.66;17.9
'2017-08-12T22:00:00Z';0.68;16.5
'2017-08-12T23:00:00Z';0.67;16.6
'2017-08-13T00:00:00Z';0.71;16.3
'2017-08-13T01:00:00Z';0.74;16.1
'2017-08-13T02:00:00Z';0.71;16.8
'2017-08-13T03:00:00Z';0.72;16.8
'2017-08-13T04:00:00Z';0.75;16.4
'2017-08-13T05:00:00Z';0.72;16.9
'2017-08-13T06:00:00Z';0.73;16.7
'2017-08-13T07:00:00Z';0.73;16.9
'2017-08-13T08:00:00Z';0.73;17.0
'2017-08-13T09:00:00Z';0.68;18.3
'2017-08-13T10:00:00Z';0.69;18.9
'2017-08-13T11:00:00Z';0.65;20.4
'2017-08-13T12:00:00Z';0.67;20.3
'2017-08-13T13:00:00Z';0.61;21.6
'2017-08-13T14:00:00Z';0.57;22.4
'2017-08-13T15:00:00Z';0.54;23.8
'2017-08-13T16:00:00Z';0.52;24.0
'2017-08-13T17:00:00Z';0.52;24.2
'2017-08-13T18:00:00Z';0.54;23.7
'2017-08-13T19:00:00Z';0.58;22.6
'2017-08-13T20:00:00Z';0.63;21.3
'2017-08-13T21:00:00Z';0.66;20.6
'2017-08-13T22:00:00Z';0.68;20.1
'2017-08-13T23:00:00Z';0.70;19.9
'2017-08-14T00:00:00Z';0.69;19.8
'2017-08-14T01:00:00Z';0.69;19.7
'2017-08-14T02:00:00Z';0.72;19.1
'2017-08-14T03:00:00Z';0.75;18.4
'2017-08-14T04:00:00Z';0.77;18.1
'2017-08-14T05:00:00Z';0.81;17.0
'2017-08-14T06:00:00Z';0.84;16.2
'2017-08-14T07:00:00Z';0.83;17.2
'2017-08-14T08:00:00Z';0.73;19.4
'2017-08-14T09:00:00Z';0.67;21.2
'2017-08-14T10:00:00Z';0.65;21.9
'2017-08-14T11:00:00Z';0.55;23.4
'2017-08-14T12:00:00Z';0.53;24.7
'2017-08-14T13:00:00Z';0.50;25.2
'2017-08-14T14:00:00Z';0.44;26.4
'2017-08-14T15:00:00Z';0.38;26.7
'2017-08-14T16:00:00Z';0.38;26.5
'2017-08-14T17:00:00Z';0.35;28.0
'2017-08-14T18:00:00Z';0.36;27.0
'2017-08-14T19:00:00Z';0.39;25.8
'2017-08-14T20:00:00Z';0.48;23.8
'2017-08-14T21:00:00Z';0.53;22.2
'2017-08-14T22:00:00Z';0.56;21.0
'2017-08-14T23:00:00Z';0.57;20.2
'2017-08-15T00:00:00Z';0.63;18.7
'2017-08-15T01:00:00Z';0.68;17.9
'2017-08-15T02:00:00Z';0.73;17.2
'2017-08-15T03:00:00Z';0.76;16.6
'2017-08-15T04:00:00Z';0.77;16.6
'2017-08-15T05:00:00Z';0.82;15.8
'2017-08-15T06:00:00Z';0.83;15.3
'2017-08-15T07:00:00Z';0.82;16.4
'2017-08-15T08:00:00Z';0.69;19.1
'2017-08-15T09:00:00Z';0.61;20.9
'2017-08-15T10:00:00Z';0.60;22.2
'2017-08-15T11:00:00Z';0.54;24.6
'2017-08-15T12:00:00Z';0.48;26.7
'2017-08-15T13:00:00Z';0.43;28.1
'2017-08-15T14:00:00Z';0.38;28.8
'2017-08-15T15:00:00Z';0.34;30.3
'2017-08-15T16:00:00Z';0.37;30.6
'2017-08-15T17:00:00Z';0.34;30.6
'2017-08-15T18:00:00Z';0.36;29.2
'2017-08-15T19:00:00Z';0.40;27.7
'2017-08-15T20:00:00Z';0.43;26.1
'2017-08-15T21:00:00Z';0.50;24.1
'2017-08-15T22:00:00Z';0.58;22.3
'2017-08-15T23:00:00Z';0.64;21.1
'2017-08-16T00:00:00Z';0.67;20.2
'2017-08-16T01:00:00Z';0.70;19.5
'2017-08-16T02:00:00Z';0.74;18.8
'2017-08-16T03:00:00Z';0.76;18.3
'2017-08-16T04:00:00Z';0.78;17.8
'2017-08-16T05:00:00Z';0.82;17.2
'2017-08-16T06:00:00Z';0.83;16.6
'2017-08-16T07:00:00Z';0.76;18.2
'2017-08-16T08:00:00Z';0.67;22.0
'2017-08-16T09:00:00Z';0.62;23.5
'2017-08-16T10:00:00Z';0.58;25.0
'2017-08-16T11:00:00Z';0.54;26.0
'2017-08-16T12:00:00Z';0.51;27.3
'2017-08-16T13:00:00Z';0.51;27.5
'2017-08-16T14:00:00Z';0.48;27.8
'2017-08-16T15:00:00Z';0.45;27.1
'2017-08-16T16:00:00Z';0.50;27.1
'2017-08-16T17:00:00Z';0.52;26.3
'2017-08-16T18:00:00Z';0.54;26.2
'2017-08-16T19:00:00Z';0.55;25.3
'2017-08-16T20:00:00Z';0.59;24.3
'2017-08-16T21:00:00Z';0.65;22.7
'2017-08-16T22:00:00Z';0.66;22.3
'2017-08-16T23:00:00Z';0.68;21.7
'2017-08-17T00:00:00Z';0.69;21.1
'2017-08-17T01:00:00Z';0.72;20.3
'2017-08-17T02:00:00Z';0.72;20.2
'2017-08-17T03:00:00Z';0.72;20.0
'2017-08-17T04:00:00Z';0.80;18.4
'2017-08-17T05:00:00Z';0.80;18.9
'2017-08-17T06:00:00Z';0.83;18.0
'2017-08-17T07:00:00Z';0.80;18.8
'2017-08-17T08:00:00Z';0.76;20.6
'2017-08-17T09:00:00Z';0.73;21.4
'2017-08-17T10:00:00Z';0.70;22.4
'2017-08-17T11:00:00Z';0.62;24.1
'2017-08-17T12:00:00Z';0.59;25.4
'2017-08-17T13:00:00Z';0.50;26.9
'2017-08-17T14:00:00Z';0.42;28.1
'2017-08-17T15:00:00Z';0.37;29.2
'2017-08-17T16:00:00Z';0.36;30.2
'2017-08-17T17:00:00Z';0.34;30.1
'2017-08-17T18:00:00Z';0.37;29.1
'2017-08-17T19:00:00Z';0.38;27.5
'2017-08-17T20:00:00Z';0.49;25.3
'2017-08-17T21:00:00Z';0.54;23.2
'2017-08-17T22:00:00Z';0.59;22.3
'2017-08-17T23:00:00Z';0.61;22.0
'2017-08-18T00:00:00Z';0.65;21.3
'2017-08-18T01:00:00Z';0.68;20.8
'2017-08-18T02:00:00Z';0.69;20.2
'2017-08-18T03:00:00Z';0.75;19.3
'2017-08-18T04:00:00Z';0.80;18.6
'2017-08-18T05:00:00Z';0.82;18.3
'2017-08-18T06:00:00Z';0.85;18.0
'2017-08-18T07:00:00Z';0.82;19.1
'2017-08-18T08:00:00Z';0.71;21.6
'2017-08-18T09:00:00Z';0.65;23.4
'2017-08-18T10:00:00Z';0.58;25.1
'2017-08-18T11:00:00Z';0.53;27.4
'2017-08-18T12:00:00Z';0.45;29.0
'2017-08-18T13:00:00Z';0.40;30.8
'2017-08-18T14:00:00Z';0.40;31.6
'2017-08-18T15:00:00Z';0.36;32.8
'2017-08-18T16:00:00Z';0.38;33.2
'2017-08-18T17:00:00Z';0.32;33.4
'2017-08-18T18:00:00Z';0.35;32.0
'2017-08-18T19:00:00Z';0.38;30.9
'2017-08-18T20:00:00Z';0.40;29.7
'2017-08-18T21:00:00Z';0.41;28.6
'2017-08-18T22:00:00Z';0.42;28.1
'2017-08-18T23:00:00Z';0.42;27.7
'2017-08-19T00:00:00Z';0.44;26.6
'2017-08-19T01:00:00Z';0.51;24.8
'2017-08-19T02:00:00Z';0.57;23.1
'2017-08-19T03:00:00Z';0.62;21.8
'2017-08-19T04:00:00Z';0.63;21.5
'2017-08-19T05:00:00Z';0.65;21.0
'2017-08-19T06:00:00Z';0.68;20.4
'2017-08-19T07:00:00Z';0.67;20.5
'2017-08-19T08:00:00Z';0.67;20.6
'2017-08-19T09:00:00Z';0.74;19.3
'2017-08-19T10:00:00Z';0.77;19.0
'2017-08-19T11:00:00Z';0.88;17.9
'2017-08-19T12:00:00Z';0.89;18.0
'2017-08-19T13:00:00Z';0.91;18.1
'2017-08-19T14:00:00Z';0.86;18.3
'2017-08-19T15:00:00Z';0.90;18.0
'2017-08-19T16:00:00Z';0.89;18.2
'2017-08-19T17:00:00Z';0.88;18.8
'2017-08-19T18:00:00Z';0.86;18.8
'2017-08-19T19:00:00Z';0.87;17.9
'2017-08-19T20:00:00Z';0.92;17.5
'2017-08-19T21:00:00Z';0.90;17.5
'2017-08-19T22:00:00Z';0.89;16.9
'2017-08-19T23:00:00Z';0.90;16.5
'2017-08-20T00:00:00Z';0.88;16.2
'2017-08-20T01:00:00Z';0.82;16.3
'2017-08-20T02:00:00Z';0.82;16.4
'2017-08-20T03:00:00Z';0.81;16.6
'2017-08-20T04:00:00Z';0.82;16.4
'2017-08-20T05:00:00Z';0.90;15.6
'2017-08-20T06:00:00Z';0.82;15.8
'2017-08-20T07:00:00Z';0.80;16.1
'2017-08-20T08:00:00Z';0.74;16.9
'2017-08-20T09:00:00Z';0.77;16.7
'2017-08-20T10:00:00Z';0.68;17.7
'2017-08-20T11:00:00Z';0.63;19.0
'2017-08-20T12:00:00Z';0.51;21.1
'2017-08-20T13:00:00Z';0.53;21.5
'2017-08-20T14:00:00Z';0.39;23.1
'2017-08-20T15:00:00Z';0.36;24.4
'2017-08-20T16:00:00Z';0.40;23.3
'2017-08-20T17:00:00Z';0.50;21.0
'2017-08-20T18:00:00Z';0.54;19.7
'2017-08-20T19:00:00Z';0.62;18.5
'2017-08-20T20:00:00Z';0.61;17.9
'2017-08-20T21:00:00Z';0.62;17.2
'2017-08-20T22:00:00Z';0.65;17.4
'2017-08-20T23:00:00Z';0.68;16.7
'2017-08-21T00:00:00Z';0.68;16.6
'2017-08-21T01:00:00Z';0.66;16.1
'2017-08-21T02:00:00Z';0.65;15.7
'2017-08-21T03:00:00Z';0.64;15.3
'2017-08-21T04:00:00Z';0.59;15.3
'2017-08-21T05:00:00Z';0.60;14.9
'2017-08-21T06:00:00Z';0.62;14.3
'2017-08-21T07:00:00Z';0.60;15.1
'2017-08-21T08:00:00Z';0.57;15.9
'2017-08-21T09:00:00Z';0.53;16.9
'2017-08-21T10:00:00Z';0.54;18.2
'2017-08-21T11:00:00Z';0.49;19.3
'2017-08-21T12:00:00Z';0.45;20.6
'2017-08-21T13:00:00Z';0.43;21.5
'2017-08-21T14:00:00Z';0.40;22.1
'2017-08-21T15:00:00Z';0.43;20.6
'2017-08-21T16:00:00Z';0.48;21.1
'2017-08-21T17:00:00Z';0.48;20.4
'2017-08-21T18:00:00Z';0.49;20.0
'2017-08-21T19:00:00Z';0.54;19.0
'2017-08-21T20:00:00Z';0.55;18.4
'2017-08-21T21:00:00Z';0.54;17.7
'2017-08-21T22:00:00Z';0.55;17.3
'2017-08-21T23:00:00Z';0.56;16.8
'2017-08-22T00:00:00Z';0.58;16.1
'2017-08-22T01:00:00Z';0.60;15.7
'2017-08-22T02:00:00Z';0.63;15.1
'2017-08-22T03:00:00Z';0.64;14.6
'2017-08-22T04:00:00Z';0.69;13.4
'2017-08-22T05:00:00Z';0.71;13.0
'2017-08-22T06:00:00Z';0.73;12.7
'2017-08-22T07:00:00Z';0.72;13.0
'2017-08-22T08:00:00Z';0.64;15.6
'2017-08-22T09:00:00Z';0.56;17.3
'2017-08-22T10:00:00Z';0.50;18.8
'2017-08-22T11:00:00Z';0.47;20.3
'2017-08-22T12:00:00Z';0.46;20.1
'2017-08-22T13:00:00Z';0.40;22.0
'2017-08-22T14:00:00Z';0.39;22.3
'2017-08-22T15:00:00Z';0.40;22.4
'2017-08-22T16:00:00Z';0.39;23.0
'2017-08-22T17:00:00Z';0.39;23.1
'2017-08-22T18:00:00Z';0.41;22.0
'2017-08-22T19:00:00Z';0.46;20.9
'2017-08-22T20:00:00Z';0.50;19.4
'2017-08-22T21:00:00Z';0.46;19.1
'2017-08-22T22:00:00Z';0.45;18.7
'2017-08-22T23:00:00Z';0.48;17.8
'2017-08-23T00:00:00Z';0.49;17.3
'2017-08-23T01:00:00Z';0.53;16.5
'2017-08-23T02:00:00Z';0.58;15.7
'2017-08-23T03:00:00Z';0.65;14.5
'2017-08-23T04:00:00Z';0.68;13.7
'2017-08-23T05:00:00Z';0.70;13.4
'2017-08-23T06:00:00Z';0.73;12.7
'2017-08-23T07:00:00Z';0.72;13.1
'2017-08-23T08:00:00Z';0.65;14.7
'2017-08-23T09:00:00Z';0.55;16.4
'2017-08-23T10:00:00Z';0.50;17.6
'2017-08-23T11:00:00Z';0.42;18.8
'2017-08-23T12:00:00Z';0.44;19.6
'2017-08-23T13:00:00Z';0.43;20.6
'2017-08-23T14:00:00Z';0.40;21.8
'2017-08-23T15:00:00Z';0.36;22.5
'2017-08-23T16:00:00Z';0.37;22.8
'2017-08-23T17:00:00Z';0.35;23.4
'2017-08-23T18:00:00Z';0.37;22.1
'2017-08-23T19:00:00Z';0.42;20.3
'2017-08-23T20:00:00Z';0.52;18.7
'2017-08-23T21:00:00Z';0.59;16.6
'2017-08-23T22:00:00Z';0.64;15.6
'2017-08-23T23:00:00Z';0.69;14.9
'2017-08-24T00:00:00Z';0.72;13.9
'2017-08-24T01:00:00Z';0.76;13.3
'2017-08-24T02:00:00Z';0.77;13.0
'2017-08-24T03:00:00Z';0.81;12.3
'2017-08-24T04:00:00Z';0.84;11.7
'2017-08-24T05:00:00Z';0.88;11.2
'2017-08-24T06:00:00Z';0.90;10.8
'2017-08-24T07:00:00Z';0.82;12.3
'2017-08-24T08:00:00Z';0.73;14.9
'2017-08-24T09:00:00Z';0.66;17.0
'2017-08-24T10:00:00Z';0.60;18.5
'2017-08-24T11:00:00Z';0.53;21.5
'2017-08-24T12:00:00Z';0.50;23.1
'2017-08-24T13:00:00Z';0.39;25.1
'2017-08-24T14:00:00Z';0.35;26.1
'2017-08-24T15:00:00Z';0.36;27.9
'2017-08-24T16:00:00Z';0.35;28.8
'2017-08-24T17:00:00Z';0.37;29.0
'2017-08-24T18:00:00Z';0.40;27.8
'2017-08-24T19:00:00Z';0.45;26.6
'2017-08-24T20:00:00Z';0.53;24.4
'2017-08-24T21:00:00Z';0.61;22.3
'2017-08-24T22:00:00Z';0.68;20.5
'2017-08-24T23:00:00Z';0.72;19.5
'2017-08-25T00:00:00Z';0.75;19.1
'2017-08-25T01:00:00Z';0.76;19.1
'2017-08-25T02:00:00Z';0.65;22.5
'2017-08-25T03:00:00Z';0.55;23.2
'2017-08-25T04:00:00Z';0.60;22.2
'2017-08-25T05:00:00Z';0.66;20.8
'2017-08-25T06:00:00Z';0.66;20.6
'2017-08-25T07:00:00Z';0.68;20.4
'2017-08-25T08:00:00Z';0.65;21.8
